title	major_group	minor_group	broad_group	detailed_occupation
Chief Executives (11-1011.00)	Management Occupations (11-0000)	Top Executives (11-1000)	Chief Executives (11-1010)	Chief Executives (11-1011)
Chief Sustainability Officers (11-1011.03)	Management Occupations (11-0000)	Top Executives (11-1000)	Chief Executives (11-1010)	Chief Executives (11-1011)
General and Operations Managers (11-1021.00)	Management Occupations (11-0000)	Top Executives (11-1000)	General and Operations Managers (11-1020)	General and Operations Managers (11-1021)
Legislators (11-1031.00)	Management Occupations (11-0000)	Top Executives (11-1000)	Legislators (11-1030)	Legislators (11-1031)
Advertising and Promotions Managers (11-2011.00)	Management Occupations (11-0000)	Advertising, Marketing, Promotions, Public Relations, and Sales Managers (11-2000)	Advertising and Promotions Managers (11-2010)	Advertising and Promotions Managers (11-2011)
Green Marketers (11-2011.01)	Management Occupations (11-0000)	Advertising, Marketing, Promotions, Public Relations, and Sales Managers (11-2000)	Advertising and Promotions Managers (11-2010)	Advertising and Promotions Managers (11-2011)
Marketing Managers (11-2021.00)	Management Occupations (11-0000)	Advertising, Marketing, Promotions, Public Relations, and Sales Managers (11-2000)	Marketing and Sales Managers (11-2020)	Marketing Managers (11-2021)
Sales Managers (11-2022.00)	Management Occupations (11-0000)	Advertising, Marketing, Promotions, Public Relations, and Sales Managers (11-2000)	Marketing and Sales Managers (11-2020)	Sales Managers (11-2022)
Public Relations and Fundraising Managers (11-2031.00)	Management Occupations (11-0000)	Advertising, Marketing, Promotions, Public Relations, and Sales Managers (11-2000)	Public Relations and Fundraising Managers (11-2030)	Public Relations and Fundraising Managers (11-2031)
Administrative Services Managers (11-3011.00)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Administrative Services Managers (11-3010)	Administrative Services Managers (11-3011)
Computer and Information Systems Managers (11-3021.00)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Computer and Information Systems Managers (11-3020)	Computer and Information Systems Managers (11-3021)
Financial Managers (11-3031.00)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Financial Managers (11-3030)	Financial Managers (11-3031)
Treasurers and Controllers (11-3031.01)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Financial Managers (11-3030)	Financial Managers (11-3031)
Financial Managers, Branch or Department (11-3031.02)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Financial Managers (11-3030)	Financial Managers (11-3031)
Industrial Production Managers (11-3051.00)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Industrial Production Managers (11-3050)	Industrial Production Managers (11-3051)
Quality Control Systems Managers (11-3051.01)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Industrial Production Managers (11-3050)	Industrial Production Managers (11-3051)
Geothermal Production Managers (11-3051.02)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Industrial Production Managers (11-3050)	Industrial Production Managers (11-3051)
Biofuels Production Managers (11-3051.03)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Industrial Production Managers (11-3050)	Industrial Production Managers (11-3051)
Biomass Power Plant Managers (11-3051.04)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Industrial Production Managers (11-3050)	Industrial Production Managers (11-3051)
Methane/Landfill Gas Collection System Operators (11-3051.05)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Industrial Production Managers (11-3050)	Industrial Production Managers (11-3051)
Hydroelectric Production Managers (11-3051.06)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Industrial Production Managers (11-3050)	Industrial Production Managers (11-3051)
Purchasing Managers (11-3061.00)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Purchasing Managers (11-3060)	Purchasing Managers (11-3061)
Transportation, Storage, and Distribution Managers (11-3071.00)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Transportation, Storage, and Distribution Managers (11-3070)	Transportation, Storage, and Distribution Managers (11-3071)
Transportation Managers (11-3071.01)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Transportation, Storage, and Distribution Managers (11-3070)	Transportation, Storage, and Distribution Managers (11-3071)
Storage and Distribution Managers (11-3071.02)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Transportation, Storage, and Distribution Managers (11-3070)	Transportation, Storage, and Distribution Managers (11-3071)
Logistics Managers (11-3071.03)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Transportation, Storage, and Distribution Managers (11-3070)	Transportation, Storage, and Distribution Managers (11-3071)
Compensation and Benefits Managers (11-3111.00)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Compensation and Benefits Managers (11-3110)	Compensation and Benefits Managers (11-3111)
Human Resources Managers (11-3121.00)	Management Occupations (11-0000)	Operations Specialties Managers (11-3000)	Human Resources Managers (11-3120)	Human Resources Managers (11-3121)
